symbol,display_symbol,canonical_symbol,meaning,meaning_len,alt_meaning_count,source_row_count
DEVE KASABI,Deve Kasabi,deve kasabi,"Rüyada elbiseleri kirli, paslı ve elinde bıçak olduğu halde deve kasabı görmek, insanları helak eden kimseye işarettir. Eğer kasabın elbisesi pâk ve temiz ise uzun ömre delâlet eder. Rüyada kasabı zayıf bir halde görmek, akıbetin güzelliğine delâlet eder. Bu rüya bazı kere de geçimin zorluğu ile tâbir olunur.",310,1,2
DEVE KUŞU,Deve Kuşu,deve kuşu,"Rüyada evinde bir deve kuşu olduğunu görmek, uzun ömür ile tâbir olunur. Bazı kere de deve kuşu görmek nimete delâlet eder. Rüyada bir deve kuşu bulduğunu veya aldığını, yahut deve kuşuna mâlik olduğunu görmek, ihsan sahibi bir kadına delâlet eder. Yine bir kimsenin rüyada deve kuşunu arkasına yüklediğini görmesi, ayağına gelecek kısmet ile tâbir edilir. Rüyada bir deve kuşuna binip onunla uçtuğunu ve tekrar yere indiğini görmek, sefere gidip selâmetle geri dönmeye alâmettir.",480,1,2
DEVE YAVRUSU,Deve Yavrusu,deve yavrusu,"Kişinin rüyada deve yavrusu görmesi, şerefli ve muhterem bir çocuk ile tâbir olunur. Rüyada yanında bir deve yavrusu olduğunu görmek, doğacak erkek çocuğa delâlet eder.",168,1,2
DEVE YÜNÜ,Deve Yünü,deve yünü,"Rüyada deve yünü görmek şu vech üzere tâbir olunur: a) Fayda, b) Rızık, c) Elbise, d) Miras, e) Nimet ve mal. Bir kimsenin rüyada birkaç yük deve yününe mâlik olduğunu görmesi, büyük ve çok bir mala delâlet eder. Rüyada kendi vücudunda deve yünü çıktığını görmek, malının ve şerefinin artacağına alâmettir. Bazı kere de deve yünü görmek, helâl mala delâlet eder.",362,1,2
DEVECİ,Deveci̇,deveci̇,"Rüyada deveci görmek, işleri idare eden valiye, orduyu idare eden kumandana işarettir. Bazı kere de deveci görmek, gemi kaptanına ve gemiyi idare edenlere delâlet eder. Yine rüyada görülen deveci, yolculuğa, hastanın ölümüne alâmettir.",235,1,2
DEĞNEK VE BASTON,Değnek Ve Baston,değnek ve baston,"İbn-i Sîrîn hazretleri demiştir ki: Rüyada değnek veya baston görmek, soylu ve asil bir kimse ile tâbir edilir. Bir değneğe veya bir asaya dayandığını görmek, asil bir kimsenin yardımı ile emeline ulaşacağına delâlet eder. Rüyada elindeki değneğin kısaldığını gören, muradına eremez. Uzadığını gören ise arzu ve emeline nail olur. Bir kimsenin rüyada elindeki bastonun birdenbire yılan haline geldiğini görmesi, dostlarının kendisinden yüz çevirip düşman olacaklarının alâmetidir. Rüyada elindeki bastonun kendisi ile konuştuğunu görmek, rızık, nimet ve menfaate delâlet eder. Rüyada birine bastonu ile vurduğunu görmek, o kişiye karşı söz söylemeğe işarettir. Yine elindeki bastonla bir taşa vurduğunu taştan da suların fışkırdığını görmek, fakir için zenginliğe; zengin için de malın artmasına alâmettir.",806,1,2
DEĞİRMEN,Deği̇rmen,deği̇rmen,"Kişinin rüyada değirmen görmesi, aile halkının sıkıntı ve darlıktan halâs bulmasına, fakirlikten sonra zenginliklerine, bekâr erkek için zevceye, bekâr kız için kocaya ve evdeki hizmetçiye delâlet eder. Cafer-i Sâdık hazretleri demiştir ki: Rüyada değirmen görmek beş şekilde tâbir olunur: a) Sultan ve emir, b) Vezir veya makamına kaim olan zat, c) Kuvvet, kudret, iktidar, d) Şecaat, e) Zabıta memuru. Değirmen yeri görmek dahi büyük bir reise ve hatırlı bir emire delâlet eder. Ibn-i Sîrîn hazretleri demiştir ki: Rüyada değirmen görmek, düşmanlık ve adam öldürmeye işarettir. Eğer değirmenin kimin malı olduğu bilinmiyorsa, husumet ve kıtal o civar halkının tamamına şamildir. Rüyada değirmen taşının buğdaysız ve boş olarak döndüğünü görmek, yolculuğa; buğday veya diğer hububat üzerinde döndüğünü görmek umumi halin şöyle böyle devamına delâlet eder. Bir kimsenin rüyada değirmen taşının döndüğünü görmesi, değirmendeki un miktarınca gelecek hayra işarettir. Bazı kere de değirmenin döndüğünü görmek yolculuk, buğdaysız dönmesi şiddet ve sıkıntı ile tâbir olunur. Değirmen bulunmayan bir evde değirmen görmek, o ev için şiddet ve çetinliklere, düşmanlığa işarettir. Değirmende buğday veya arpa yahut kendisinden istifade edilecek faydalı bir şeyin öğütüldüğünü görmek, aile halkının işlerinin kolaylığına ve rızıklarının genişliğine, hastalıklardan şifa bulmalarına delâlet eder. Bir kimsenin rüyada şehir ve kasabanın veya camilerin ortasında büyük bir değirmen görmesi, eğer o şehir harap ise meydana çıkacak bir harbe delâlet eder. Rüyada değirmenin kırıldığını ve bozulduğunu görmek, üzüntü ve kederden kurtulmaya işarettir. Hapiste olanın da zindandan çıkmasına delâlet eder. Bekâr bir adamın rüyada değirmen satın aldığını görmesi, evlenmek ile tâbir olunur. Aynı rüyayı kızı veya oğlu olan görmüşse, oğlunu veya kızını evlendirir. Rüyada yel değirmeni görmek, devamlı olmayan düşmanlığa delâlet eder. Kirmanî demiştir ki: Rüyada değirmen taşının demirden veya bakırdan olduğunu görmek, şiddetli düşmanlığa ve kıtale; değirmen taşının şişeden olduğunu görmek, kadınlar yüzünden insanlar arasında vuku bulacak düşmanlığa delâlet eder. Ibn-i Kesir de demiştir ki: Rüyada yel değirmeni görmek, harb ve kıtal ile tâbir olunur. Halkın buğdayını öğütmek üzere bir yel değirmeni kuran (eğer lâyık ise) insanların başına geçer ve onlara hükmeder. Rüyada yel değirmeninin yelkenlerini boyalı ve nakışlı görmek, geçimin güzel olmasına, maksada ermeğe, işlerin yolunda gitmesine delâlet eder. Isfehanî demiştir ki: Rüyada bir değirmenin gerek su ve gerek hayvan ile döndüğünü görmek, hayır ve bereketin husulüne, maişette kolaylığa delâlet eder. Rüyada el değirmeni ile un öğüttüğünü görmek, büyük bir hayıra ermeye ve elinin emeğinden kazandığından fukaraya infak etmeye alâmettir. Bir kimsenin rüyada değirmenin taş öğüttüğünü görmesi, korku ve dehşete işarettir. Yine değirmenin sebepsiz olarak döndüğünün görülmesi, ecelin yaklaşmasına delâlet eder.",2954,1,2
DEĞİRMENCİ,Deği̇rmenci̇,deği̇rmenci̇,"Rüyada değirmenci görmek, değirmende öğütülen buğday miktarınca kendi nefsini ve dünyasını ıslah etmekle meşgul olan bir kimseye alâmettir. Rüyada yaşlı bir değirmenci görmek, o kimsenin dedesi ve dostu vasıtasıyla değirmende öğütülen unun miktarı ve değirmencinin gücü nisbetinde dünyanın o kişiye meylettiğine işarettir. Rüyada genç bir değirmenci görmek, rızkının düşman eliyle temin edilmesine delâlet eder. Yine bir kimsenin rüyada değirmenci görmesi, halkı yaşamaya teşvik eden bir adama delâlet eder. Bir kadının rüyada hububat öğüttüğünü görmesi, üzüntü ve kederlerin gitmesine ve temizliğe alâmettir. Bazı kere de değirmenci görmek, keder, düşmanlık, bir şeyi bir halden bir hale sokmaya faiz ve güç işlerini kendi iradesiyle tamamlayan âmire delâlet eder. Yine rüyada, kendisine yetecek kadar un öğüttüğünü görmek, kendisine yetecek miktarda maişetini temin etmeye işarettir. Bazan da değirmenci görmek, dünyaya meylederek ahireti unutmaya delâlet eder.",963,1,2
DEĞİŞ-TOKUŞ,Deği̇ş-Tokuş,deği̇ş-tokuş,"Rüyada elinde olan herhangi bir şeyi, daha iyi bir şeyle trampa ettiğini görmek, dünya ve ahiretçe ondan daha hayırlı bir beden ve mükâfata nail olmaya işarettir.",162,1,2
DOKTOR,Doktor,doktor,"Bir kimsenin rüyada doktor görmesi, âlim ve fazıl birine delâlet eder. Rüyada bir doktorun kendisine ilâç verdiğini görmek, vücudun sıhhat ve afiyetine delâlet eder. Nablusî (rh.a.) demiştir ki: ""- Rüyada görülen doktor, insanın anasıdır. Bu sebeple bir kimse rüyada kendi doktorunun öldüğünü görse, o kişinin anası vefat eder. Rüyada hastanın yanına bir doktor geldiğini görse, hastalıktan şifa bulur. Buna mukabil, doktorun sağlam bir adamın yanına gittiğini görmek, gören kimse için hastalığa delâlet eder."" Yine rüyada doktor görmek, öğütleri tesirli olan vaize, din ve dünya işlerini ıslah eden hakim ve müftüye, terbiyeci, muallim ve dabakçı gibi kimselere delâlet eder. Bazı kere de rüyada doktor görmek, kan aldırmakta şifa olduğundan kan alıcıya işarettir.",765,1,2
DOKUMA TARAĞI,Dokuma Taraği,dokuma taraği,"Bir kimsenin rüyada dokuma tarağı görmesi, tarak görmenin delâlet ettiği şeylere işarettir. Tarak, bekâr kız için kocaya, bekâr erkek için de sıkıntı ve meşakkatlere sabreden haysiyetli ve iffetli bir kadına delâlet eder.",221,1,2
DOKUMAK,Dokumak,dokumak,"Bir kimsenin rüyada herhangi bir şey dokuduğunu görmesi, ömrün kısalmasına veya ömür günlerinin çoğunun gitmesine alâmettir. Bazı kere de rüyada dokumak, orta halli olmaya ve geçimin kolaylığına delâlettir. Rüyada elbise dokuduğunu görmek, uzun bir sefere delâlet eder. Bir kimsenin rüyada bez dokuduğunu sonra o bezi kestiğini görmesi, arzu ettiği işe kavuştuktan sonra o işin intikaa uğramasına işarettir. Zindandaki bir kişinin rüyada bez dokuduğunu görmesi, hapisten kurtulmaya delâlet eder. Düşmanı varsa onunla sulh olur. Rüyada durulmuş elbise görmek, uzak bir yere yolculuğa delâlet eder.",596,1,2
DOLANDIRICI,Dolandirici,dolandirici,"Rüyada görülen dolandırıcı, laf ve hile ile halkı aldatan kimseye işarettir. Bazı kere de bü rüya, hırsızlık, hokkabazlık ve mal hususunda gerilemeye delâlet eder.",163,1,2
DOLAP,Dolap,dolap,"Bir kimsenin rüyada su dolabını dönüyor görmesi, sefere çıkacağına, dolabı kırık, dökük ve dönmüyor görmesi, üzüntü, keder ve geçim sıkıntısına delâlet eder. Rüyada elbise konan dolabı görmek, rütbe ve makamın artacağına işarettir. İçi boş, elbisesiz ve kırık dökük dolap görmek, üzüntü ve kedere alâmettir.",307,1,2
DOLU,Dolu,dolu,"Dolu, isminden de anlaşılacağı gibi insanlar için âfettir. Rüyada gökten dolu yağdığını görmek, devletin insanlara zulüm etmesi, mallarına el koyması, şiddetle cezalandırılması, bazı kimselerin canlarını acıtması ile tâbir olunur. Rüyada zamansız kar veya dolu yağdığını görmek, rüya sahibinin hastalanacağına işarettir. Cafer-i Sâdık (r.a.) demiştir ki: Rüyada dolu yağdığını görmek, beş vech ile tâbir edilir: a) Dert ve bela, b) Düşmanlık, c) Düşman askeri, d) Kıtlık, e) Hastalık ve maraz... Rüyada dolunun yağdığını ve fakat zarar eriştirmediğini görmek, Allahu Teâlâ'nın inayeti ile tâbir olunur. Bir kimsenin rüyada yağan doluyu yerden toplayıp kaplara doldurduğunu görmesi, hayır, rızık ve berekete delâlet eder. Bazı kere de dolu rüyası, geçimin darlığına, sıkıntı ve meşakkatlere delâlet eder. Rüyada dolunun üzerine yağdığını görmek, elden çıkacak mala işarettir. Zamanında yağan dolu ise, üzüntü ve kederlerin gitmesine, düşmanın ve hainlik yapmak muradında olanların kahrolmasına delâlet eder. Rüyada dolunun nebatlar üzerine yağması ve fakat hiç birine zarar vermemesi, kimseyi de mutazarrır etmemesi o yere inecek bolluk ve ucuzluğa delâlet eder. Nablusî (rh.a.) demiştir ki: ""- Rüyada doluyu toplayıp elek, kalbur, elbise yahut içine su konulmayan kaplara koyduğunu gören kimse, eğer zengin ise malı ve kazancı elinden gider, malı noksanlaşır.",1359,1,2
DOLU ŞEYLER,Dolu Şeyler,dolu şeyler,"Bir kimsenin rüyada balık, tavuk ve bunlardan başka doldurulmuş şeyleri görmesi, kazanılan mala veya ticaret için hazırlanmış nesnelere delâlet eder. Yine bu rüya bekâr biri için evlenmeye, hasta için sıhhat ve afiyete kavuşmaya; doldurulmuş şeyin içinde olan yağ da kadınlar tarafından elde edilecek mala alâmettir.",316,1,2
DOMATES,Domates,domates,"Bir kimsenin rüyada domates görmesi, hayır ile tâbir edilmez. Çünkü domates ekşidir. Bununla beraber kırmızı domates görmek, altına, yeşil domates de gümüşe delâlet eder. Denilmiştir ki: Rüyada çiğ veya pişmiş domates yemek, harama delâlet eder.",245,1,2
DOMUZ,Domuz,domuz,"İmam Nablusî demiştir ki: ""- Rüyada görülen domuz, bir belânın veya musibetin meydana çıkmasında bağırıp feryat eden, sözünde sebatsız ve vefasız olan kuvvetli, hilekâr ve mel'un bir düşmandır. Bir kimse rüyada domuza bindiğini görse, bu rüya, bilerek haram mal kazanmaya delâlet eder. Domuz etinin kebabını yemek de, yine aynıdır. Rüyada domuz gibi yürüdüğünü gören kimsenin hemen gözü aydın olur."" Neden öyle? Çünkü domuz dosdoğru yürür. Her ne kadar pis ve necis bir hayvan ise de, gittiği yöne dümdüz gider. Rüyada domuz görmek, bazı kere kadın ile de tâbir olunur. Rüyada görülen domuz eti, bütün insanlar için iyidir. Kişinin rüyada kebap olmuş domuz eti yediğini görmesi, iyidir ve çabucak hâsıl olacak menfaata delâlet eder. Rüyada domuz ile çekiştiğini ve kavga ettiğini görmek, zalim düşmana karşı zafer bulmaya işarettir. Bir kimsenin rüyada kendisinin domuz olduğunu görmesi, dinde zillete düşmeye, fakat buna mukabil mala ve bolluğa nailiyete delâlet eder. Rüyada bir takım domuzlara mâlik olduğunu görmek, birikmiş mala işarettir. Yolcu ve denizde seyahat eden birinin rüyada kara domuz görmesi, yağmur ve şiddetli doluya delâlet eder. Ebu Saidü'l-Vaaz demiştir ki: Rüyada domuz görmek, düşmana delâlet eder. Bazı kere de domuz görmek, şüpheli kimselerle düşüp kalkmaya, haram ve kötü mala, yalan ve hileye ve zalim bir düşmana delâlet eder.",1355,1,2
DON,Don,don,"Rüyada bir kimsenin temiz ve pâk bir don görmesi, büyük ve ulvî bir makama ermeye veya iffetli bir hanımla evlen meye delâlet eder. Rüyada kara don giymek, yüksek makam sahipleri için iyi ve müjdeli haberlere alâmettir. Yine rüyada eski, yırtık, porsumuş don giymek, üzüntü, keder, dert ve tasa ile tâbir olunur. Yeşil renkli don giymek ve bir başkasının üzerinde görmek, dini inancın sağlamlığına işarettir.",408,1,2
DONANMA,Donanma,donanma,"Rüyada askeri donanma görmek, şeref şan ve sevince delâlet eder. Çünkü donanma bir milletin iftihar kaynağı dır. Bazı kere de donanma görmek, iş ile tâbir olunur.",162,1,2
DONDURMA,Dondurma,dondurma,"Rüyada dondurma yediğini görmek, meşakkatle kazanılan mala delâlet eder. Çünkü dondurma da nice emekten sonra elde edilir. Bir kimsenin dondurma yaptığını görmesi, yeni bir işe atılmaya ve teşebbüse alâmettir.",209,1,2
DONMAK,Donmak,donmak,"Rüyada soğuktan donduğunu ve kıpırdayamaz hale geldiğini görmek, yakın akrabadan birinin hastalığına delâlet eder. Birinin gelip donmaktan sizi kurtardığını görmek, üzüntü ve kederden halâs olmaya delâlet eder.",210,1,2
DOSTLUK,Dostluk,dostluk,"Bir kimsenin rüyada herhangi bir kişi ile dostluk kurduğunu görmesi, kadir ve kıymetinin yüce olmasına, ""Dostluk aklın yarısıdır"" hadisine binaen aklın kuvvetli oluşuna ve ondaki fazilet ve kemale, her işin sonunu güzelce düşünmeye delâlet eder. Rüyada dostluk görmek, bazı kere de insanın kuvvet ve kudretine işarettir.",320,1,2
DOĞAN,Doğan,doğan,"Rüyada doğan kuşunu çağırdığını görmek, iyi bir oğula nail olmaya delâlet eder. Rüyada doğan eti yediğini görmek, sultan tarafından gelecek mala delâlet eder. Yine doğan kuşu görmek; izzete, şerefe, saltanata, düşmana galip gelmeye, arzu ve isteklerine kavuşmaya, evlâda, hanıma, memleketlere, güzel mallara, sıhhate, gam ve kederden ferahlığa, gözlerin sağlamlığına ve çok sefer etmeye delâlet eder. Bazı kere de doğan kuşları, avcılığı sebebiyle ölüme işarettir. Bazan da doğan, hapse girmeye, yiyecek ve içeceğin eksikliğine ve sıkıntıya delâlet eder. Rüyada elinde bir doğan kuşu olduğunu görmek, insanlar üstüne reis olmaya ve halk arasında methedilmeye delâlet eder. Doğan kuşlarının toplu halde bir yöne gittiklerini görmek, o yere doğanların sayısınca hırsız ve yol kesici girmesine delâlet eder. Demek ki doğanlar şehirlere sürü halinde girivermişler.",860,1,2
DOĞRAMACI,Doğramaci,doğramaci,"Rüyada doğramacı görmek, mahalle mektebinin öğretmenine delâlet eder. Yine doğramacı, halkın arasını ıslaha çalışan ve insanların işlerini yürüten terbiyeli bir adam ile tâbir olunur. Bazı kere de doğramacı görmek, insanlara ilim ve edep öğreten bir kimseye delâlet eder.",271,1,2
DOĞRU AĞAÇ,Doğru Ağaç,doğru ağaç,"Rüyada dosdoğru bir ağaç görmek, o yerin imar edileceğine delâlet eder.",71,1,2
DOĞURMAK-DOĞMAK,Doğurmak-Doğmak,doğurmak-doğmak,"Hamile bir kadının rüyada erkek bir çocuk doğurduğunu görmesi, doğacak çocuğun kız olacağına işarettir. Kız doğurduğunu görmek, bunun zıddı. O zaman da erkek bir çocuk dünyaya getirir. Rüyada kız çocuğu, üzüntü ve kederden halâs olmaya; erkek çocuğu da üzüntüye delâlet eder. Hasta adamın rüyada anasının kendisini doğurduğunu görmesi, onun ölümü ile tâbir olunur. Çünkü çocuk ölü gibi bezlere sarılır. Sanat ehli birinin bu rüyayı görmesi, ona mani olacak birtakım kimselerin zuhur edeceğine işarettir. Bir erkeğin rüyada oğlan çocuğu doğurduğunu görmesi, hastalık ve maraz ile tâbir edilir. Rüyada doğmak, rahatlığa, kederden kurtuluşa, borcu ödemeye ve tevbeye delâlet eder. Çünkü çocuk da doğduğunda dar bir yerden geniş bir mekâna gelir. Bir kadının rüyada erkek çocuğu doğurduğunu görmesi, ferahlık sevinç, müjde, ağırlıktan kurtulmaya ve selâmete ermeye delâlet eder. Kız doğurduğunu görmek, izzet, şeref, ucuzluk, bolluk, güçlükten sonra kolaylık ve geniş bir rızka delâlet eder. Fakir bir kimsenin rüyada doğurduğunu görmesi, zengin olmaya işarettir. Zenginin doğurması ise, onun hakkında üzüntü ve kedere delâlet eder. Kirmanî demiştir ki: Rüyada bir kız doğurduğunu görmek, büyük hayra ermeye işarettir. Erkek çocuk doğurduğunu görmek ise, üzüntü, keder ve gama delâlet eder. Cafer-i Sâdık (r.a.) demiştir ki: Bir kadın rüyasında bir erkek çocuk doğurduğunu ve çocuğun doğar doğmaz konuştuğunu görse, o kadın dünya ve ahirette selâmete erer. Ebu Saidü'l-Vaaz da demiştir ki: Bir erkeğin rüyada çocuk doğurduğunu görmesi, kendisine münasip olmayan bir ağır yük altına gireceğine, sonra ondan kurtulup düşmana zafer bulacağına delâlet eder.",1649,1,2
DUA,Dua,dua,"Rüya esnasında edilen dua, uyanıklıkta ibadet veya sahibinin kılacağı namaza işarettir. Yine rüyada dua, muradına nail olmaya ve çocuğa delâlet eder. Rüyada görülen dua, şiddetli istekle ve feryat ile olursa, o takdirde musibetlere veya fitnelere alâmettir. Şayet dua yüksek sesle olursa yağmurun azlığına delâlet eder. Denilmiştir ki: Rüyada dua görmek, salâh-ı din ve takvaya, iman kuvvetine ve itikat selâmetine delâlet eder. İbn-i Kesir demiştir ki: Rüyada dua ettiğini görmek, uyanık iken edeceği duanın kabul edileceğine alâmettir. Dua rüyası aynen zuhur eder. Rüyada gündüz dua ettiğini görmek, akşam üzeri ve gecenin başında görülen duadan daha evvel zuhur eder. Sabaha karşı görülen dua ise hemen hemen bir hafta içinde aynen vaki olur. Rüyada Rabb-i Kerimine dua ettiğini veya kendisi hakkında dua edildiğini görmek, hayra erişmeye ve gıpta edilecek bir nimete kavuşmaya işarettir. Yine rüyada dua etmek, ihtiyaçların karşılanmasına ve isteklerin çabucak meydana gelmesine delâlet eder. Karanlıkta Rabbine dua ettiğini gören kimse üzüntü ve kederden halâs olur.",1071,1,2
DUA ETMEK,Dua Etmek,dua etmek,"Nablusî (rh.a.) demiştir ki: Rüyada dua etmek, duanın kabul olmasına, hidayet, rızık ve büyük kimseler yanında övülmeye delâlet eder. Rüyada namazdan sonra dua ettiğini görmek, büyük hayra; bir başkası aleyhine dua etmek, o kişiyi sözleriyle kahra uğratmaya delâlet eder.",271,1,2
DUDAK,Dudak,dudak,"Cafer-i Sadık (r.a.) demiştir ki: Dudaklar rüyada evlat ile tâbir olunur. Üst dudak erkek ve alt dudak kız evlada delâlet eder. Onlarda iyi ve kötü bir şey görmek evlada iyilik ve kötülük vukuuna işarettir. Rüyada dudakların kalın olduğunu görmek, evlatlarının sıhhatli ve gürbüz olmalarına, ince dudak görmek de onların zayıf ve nahif olmalarına delâlet eder. Bazı kere de dudak görmek şu şekilde tâbir olunur: a) Nimet, b) İlim, c) Hidayet, d) Sevinç, e) Sürür ve ferah. Rüyada dudak görmek, rüya sahibinin kendisiyle iftihar ettiği bir adamın yardımına ve anlatım kuvvetine veya kendisiyle şereflendiği dostuna alâmettir. Rüyada alt dudağı görmek, üst dudağı görmekten daha iyi ve faziletlidir. Rüyada görülen dudaklar, zevce, çocuk ve akraba ile de tâbir olunur. Rüyada dudaklarında ağrı ve sızı olduğunu görmek, dost ve ahbaplarının işlerinin bozukluğuna delâlet eder. Bir kimsenin rüyada üst dudağının yerinden ayrıldığını görmesi, nimetin ve devletin elden gitmesine delâlet eder. Alt dudağının ayrıldığını görmek, hanımın ölümüne işarettir. Kirmanî demiştir ki: Rüyada iki dudağını yerinden düşmüş görmek, baba ve anne cihetinden bir musibettir. Bazı kere de bu rüya, rüya sahibinin gammaz olduğuna delâlet eder. Rüyada dudaklarında çirkinlik ve noksanlık olduğunu görmek, üzüntü, keder ve gama alâmettir. Yine rüya esnasında iki dudağının birbirine yapışmış ve açılmaz olduğunu görmek, işlerinin bağlanıp müşkülâta uğramasına delâlet eder. Rüyada dudaklarda görülen incelik ve kırmızılık, düzgün söze, doğru yola ve yiyilip içilecek şeylerin temiz ve hoş olmasına delâlet eder. Hasta bir adamın rüyada dudaklarının siyahlandığını veya gök rengine büründüğünü görmesi, ecelin yakın olduğuna işarettir. Nablusî (rh.a.) demiştir ki: ""- Rüyada görülen dudak, adamın kuvveti, süsü ve yakınlarıdır. ""Şefe""nin çoğulu ""Şifah""dır. Bu sebeple dudak, hastalıklardan şifa bulmaya, başkasını çekemeyen bir kimsenin gam ve hakaretinden kurtulmaya ve kalb hastalıklarına şifa veren haberlere delâlet eder. Dudaklar bazı kere kapıcılara, hizmetçilere, bekçilere, kapılara ve kilitlere; bazan da, ilim, hidayet, yemek, içmek, sevinç, keder ve sırları gizli tutmaya delâlet eder."" Rüyada dudak üzerinde dakk denilen ve iğne ile yapılan döğme görülmesi, iyilik ve hayırla tâbir edilmez. Bir kadının dudağının üzerinde ben olduğunu görmesi, izzet ve şerefe delâlet eder. Erkeğin dudakta ben görmesi, malın çokluğu ile tâbir olunur.",2420,1,2
DUDU KUŞU,Dudu Kuşu,dudu kuşu,"Bir kimsenin rüyada dudu kuşu görmesi, sözü ve sohbeti güzel ve dinlenir bir kadına delâlet eder. Bekâr bir adamın rüyada dudu kuşu aldığını görmesi, tatlı dilli bir kadınla evleneceğine işarettir.",197,1,2
DUHA,Duha,duha,"Rüyada bu mübarek sûreyi okuduğunu veya kendi üzerine okunduğunu görmek, hayır ve hasenata nailiyete, zayıf ve yoksullara iyilik etmeye, merhamet sahibi bulunmaya, korku ve şiddetten halâs olmaya ve emniyete delâlet eder. Ibn-i Sîrîn (rh.a.) demişti ki: Bu sûre-i şerifeyi rüyada okuyan veya okunduğunu gören, yetime acır, dilenciyi reddetmez, kendisinden istenileni verir, fakir fukaraya iyilik ve ihsanda bulunur.",415,1,2
DUHAN,Duhan,duhan,"Rüyada Sûre-i Duhan'ı tamamen veya ordan bir parça okuduğunu ya da üzerine okunduğunu görmek, düşmandan kurtulmaya, izzet ve yüceliğe, kalb safasına delâlet eder. İbn-i Sîrîn hazretleri demişlerdir ki: Bu mübarek sûreyi rüyada okumak, ibâdet ve taât ehli olmaya ve Allah'tan korkmaya delâlet eder. Cafer-i Sâdık (r.a)'in tabiri ise şöyle: a)Bol ve geniş rızık, b) İhsan tarfindan ihsan edilecek servet, d) Salâh ve refah, e) Siretin yani için güzelliği...",455,1,2
DUL,Dul,dul,"Rüyada evli kadının dul kaldığını görmesi, efendisinin kendisinden evvel öleceğine delâlet eder.",96,1,2
DUMAN,Duman,duman,"Rüyada duman görmek, üzüntü, keder, gam ve sıkıntıya delâlet eder. Yine üzerine siyah bir dumanın çöktüğünü görmek, günah ve hataya işarettir. Rüyada dumanın içinden selâmete çıktığını görmek, günahlardan tevbeye, sıkıntıdan feraha ermeye delâlet eder. Rüyada sigara içtiğini ve etrafa duman savurduğunu görmek, üzüntü ve keder içinde bocalamaya işarettir. Çünkü insanlar kederlendikçe sigara yakarlar.",402,1,2
DUMANLI ATEŞ,Dumanli Ateş,dumanli ateş,"Rüyada dumanlı ateş ve alev görmek, çok yakınından bir kimsenin vefatına alâmettir. Dumansız ateş görmek ise, düşünce ve endişelerden kurtulmaya delâlet eder. Kendi eliyle ateş yaktığını görmek, malın çoğalmasına ve ilme işarettir.",231,1,2
DURAK,Durak,durak,"Bir kimsenin rüyada kendisini durakta otobüs bekler görmesi, sevdiği birinden sevinçli haber almaya delâlet eder. Çünkü insanlar vasıtalarla oraya buraya gider gelirler.",169,1,2
DUT,Dut,dut,"Bir kimsenin rüyada dut yediğini görmesi, menfaatli ve bol kazanca işarettir. Rüyada görülen siyah dut altına, beyaz dut gümüşe, dut ağacı mal ve evlat sahibi kişilere delâlet eder. Rüyada kırmızı dut yediğini görmek, kuvvetli ve temiz itikada ve dinde sağlamlığa, bedende sıhhatli olmaya delâlet eder. Cafer-i Sâdık (r.a.) demiştir ki: Rüyada siyah dut görmek, mal ve menfaattir. Zevcesiyle kendi arasında münazaa (konuşma) husulüne delâlet eder. Kirmani de demiştir ki: Rüyasında beyaz ve tatlı dut yediğini gören cömert ve kerim bir kimse tarafından hayır ve menfaat görür.",576,1,2
DUVAK,Duvak,duvak,"Bir kimsenin rüyada gelin duvağı görmesi, sevinç ve sürür ile tâbir olunur. Zira duvak, gelinin en sevinçli anını aksettirir. Genç bir kızın rüyada duvak görmesi, iyi bir delikanlı ile evleneceğine delâlet eder.",211,1,2
DUVAR,Duvar,duvar,"Kişinin rüyada duvar görmesi, kendisini ayakta tutan haline işarettir. Rüyada duvarının düştüğünü görmek, yere gömülmüş bir mala ve ona nailiyete delâlet eder. Rüyada kerpiçten duvar yaptığını görmek, iyi ve güzel amel ile tâbir olunur. . Rüyada duvara bakıp onda kendi suretini görmek, ölümün yakın olduğuna işarettir. Çünkü insan öldüğünde kabri üzerine duvar çekilir ve ismi yazılır. Rüyada kendi üzerine bir duvar veya başka bir şey düştüğünü görmek, günah ve hata ile tâbir olunur. Yine rüyada mahvolmuş, kaybolmuş, yıkılmış duvarı görmek, arkadaşlara, dağılmış bir insana veya büyük bir âlime delâlet eder. Rüyada şehir ve kasaba duvarları görmek, asker ve subay ile tâbir olunur. Zira milletin askeri vatanın duvarı mesabesindedir. Bir kimsenin rüyada eski duvarı yenilediğini görmesi, evlenmekle meydana gelecek akrabalığa işarettir. Nablusî (rh.a.) demiştir ki: ""- Rüyada bir duvara yapışıp durduğunu görmek, o kimsenin duvara yaslandığı kuvvetlilik nisbetinde şerefinin gitmekte olduğuna delâlet eder. Belki o kimse, kıymetli yüce bir zata yaslanır. Duvarın evin içine yıkıldığını görmek, ev sahibinin hasta olmasına delâlet eder. Duvarın evin dışına yıkıldığını görmek, ev sahibinin ölümüne işarettir, eğer ev sahibi seferde ise evine döner."" Rüyada bir değneğe dayanarak bir duvardan atladığını görmek, iyi bir dostunu bırakarak fena bir kimse ile arkadaş olmaya delâlet eder.",1388,1,2
